preferred_canonical	merged_from	before_daf_count	after_daf_count
Shevi'it (Sabbatical Year)	Shevi'is (sabbatical year)	1	7
Shevisah (rest)	Shevisas Behema (rest of animals)	1	2
Shevras Etzem (breaking bones)	Shevirat etzem (bone-breaking)	0	1
Shevu'a (oath)	Shevuah (oath); Shevu'ot (oaths)	20	23
Shevuat Shav (vain oath)	Shevuat Shav (vain oaths) — four categories in Rambam's system	8	9
Shfoferet (eggshell measure)	Shfoferet shel beitza (eggshell measure)	2	3
Shibud (lien)	Shibud (liens/encumbrance)	4	5
Shichiv mei'ra (deathbed)	Shichiv mei'ra ketava u-netana (deathbed gift)	1	2
Shichrur (manumission)	Shichror (freeing/emancipation); Shichur (freeing/manumission)	4	6
Shichshuch (mixing motion)	Shichshach (shaking without intention)	1	2
Shidduch (betrothal)	Shidduchim (betrothal arrangement)	1	5
Shifcha Kena'anit (Canaanite maidservant)	Shifcha Kenaanit (Canaanite slave woman)	1	9
Shikcha (forgotten produce)	Shikcha (forgetfulness)	1	2
Shikru ha-Lishkah (communal fund remnants)	Sheyarei Ha-lishka (leftover temple funds)	1	2
Shilo	Shilo altar; Shilo Period	5	7
Shilshul (stooping/hard access)	Shilshul (lowering downward)	1	2
Shiluach (ransom of captives)	Shiluach (agent)	1	2
Shimon	Shimeon	5	6
Shimur (guarding/preparing)	Shimra (watching/responsibility)	2	3
Shinui (change/alteration)	Shinuy (alteration); Shinuy (modification)	26	40
Shinui Ba'alim (change of owner)	Shinuy Be'alim (change in ownership)	4	7
Shinui hachozer livriyaso (change that reverts to original)	Shinuy Hachozer Lbriyato (reversible change)	1	3
Shinui Hashem (change of name/status)	Shinuy Hashem (change of name)	5	8
Shinui Kodesh (change of sacred designation)	Shinuy Kodesh (change in offering type)	5	8
Shinui Koneh (transformation acquires ownership)	Shinui Koneh (transformation acquires); Shinuy Koneh (alteration acquires ownership)	2	10
Shinui Ma'aseh (change of action)	Shinui Ma'aseh (physical transformation); Shinuy Ma'aseh (change of action)	1	7
Shinui Makom (change of location)	Shinuy Makom (change of location)	3	4
Shinui Reshut (change of domain)	Shinuy Reshut (change of domain)	9	11
Ship Paradox	Ship of Theseus	1	2
Shira (singing)	Shirah (singing)	4	9
Shirat HaLevim (levitical singing in the Temple)	Shirah of the Levites	1	2
Shirat Hayam (Song at the Sea)	Shir at the sea (Az Yashir)	2	3
Shirayim (remnants)	Shirayim (remainder of offering); Shirayim (remnants of blood); Shirayim (remnants of meal offering)	3	23
Shirei dam (remainder of blood)	Shirei ha-dam (remnants of blood)	1	3
Shitin (underground wine cavities)	Shitin (caverns)	1	4
Shittuf mevo'ot (partnership of alleyways)	Shittuf chatzerot (joining courtyards); Shittuf mavo'ot (partnership of streets); Shittuf mavoi (alleyway partnership)	9	12
Shiur (measure/amount)	Shiur (minimum measure); Shiurah (minimum measure)	1	28
Shiva (mourning period)	Shiva (seven days of mourning)	4	9
Shiva neki'im (seven clean days)	Shivat Nekiyim (seven clean days)	1	7
Shivat yamim (seven days)	Shivat Yamim (seven days)	0	1
Shiyur (retention)	Shiyur (excluded section)	2	3
Shiyurim (standard rabbinic measurements)	Shiyuraim (leftover coins)	1	2
Shkia (sunset)	Shkiah (sunset)	1	2
Shkulim Hem (they are equivalent)	Shkulot Hayu (equal worth)	1	2
Shlamim (peace offerings)	Shlomim (peace offerings)	16	17
Shlemah (complete entity requirement)	Shlemut (wholeness/completeness)	0	1
Shliach (agent/messenger)	Shliach (messenger/agent)	8	9
Shliach Tzibbur (cantor)	Shliach Tzibur (communal prayer leader)	9	10
Shlichei Beis Din (messengers of the court)	Shluchei Beit Din (court messengers)	1	3
Shlichei Mitzvah (those performing mitzvot)	Shluchei Mitzvah (messengers of a mitzvah)	1	3
Shlichim (messengers)	Shluchim (messengers)	2	4
Shlichus (agency)	Shlichut Lekabbala (agency for acceptance); Shlichut Yad (misappropriation by watchman)	28	30
Shlishi (tertiary impurity)	Shlishi Berishon (tertiary relation)	5	6
Shlukot (boiled vegetables)	Shlukos (non-Jewish vegetable soup)	1	2
Shmata (rag)	Shmata (learned discussion)	1	2
Shmira (guarding/protective measures)	Shmira (watchfulness)	1	6
Shmita (Sabbatical Year)	Shmita (sabbatical year)	1	18
Shmuel HaRamati (Samuel the prophet)	Shmuel the Prophet (biblical figure)	1	2
Shmuel vs. other Amoraim	Shmuel vs. others	0	1
Shmuel vs. Rav (wine barrel dispute)	Shmuel vs. Rav	1	2
Shmuel's astronomical calculations	Shmuel the astronomer	1	2
Shmuel's lenient position	Shmuel's lenient ruling; Shmuel's lenient interpretation; Shmuel's leniency in exile	1	4
Shmuel's medical teachings	Shmuel's medical rules	1	2
Shmuel's teaching on redemption	Shmuel's position on redemption	1	2
Shnei Edim (two witnesses)	Shmuel's position on witnesses	2	3
Sho'el (borrower)	Sho'el (borrower liability)	12	13
Shochad (bribery)	Shochad (bribe)	1	4
Shochet (ritual slaughterer)	Shochet (slaughterer)	3	4
Shofaat (continuous flow of blood)	Shofaat kol shiva (continuous bleeding for seven days)	2	3
Shofar (receipt)	Shuma (assessment of value)	0	4
Shofar and Kufah (collection containers)	Shofar and Chatzotzrot (shofar and trumpets)	1	2
Shofarot (collection boxes)	Shofrot (temple collection boxes)	2	3
Shofech damim (spilling blood)	Shofech Damim (spilling blood)	1	2
Shoferet (diagnostic tube for blood detection)	Shofoferet (tube)	1	2
Shofet (flowing bleeding)	Shofeset (continuous bleeding)	1	2
Shogeg (unintentional action)	Shogeg (unintentional)	29	31
Shomea Tefillah (hearer of prayer)	Shomea Tefillah (one who hears prayer)	1	6
Shomer categories (classification of guardians)	Shomer categories	1	2
Shomer Chinam (unpaid bailee)	Shomer Chinam (unpaid guardian)	22	25
Shor Muad (habitual gorer)	Shor Muad (forewarned ox)	3	8
Shor Tam (non-habitual gorer)	Shor Tam (innocent ox)	1	6
Shorashim (roots)	Shorashim (roots belong to landowner)	1	3
Shotah (mentally incompetent person)	Shotah (mentally incompetent woman); Shoteh (mentally incompetent person); Shotim (mentally incompetent persons)	1	21
Shoter (court officer) roles and authority	Shotrim (court officers); Shotrim (police force)	1	4
Shovach (pigeon coop)	Shovach (Ammonite general)	1	2
Shovar (receipt)	Shover (receipt)	6	11
Shratzim (non-kosher insects)	Shratzim in complete removal requirement	1	2
Shtar Kiddushin (betrothal document)	Shtar Erusin (betrothal document)	4	5
Shtar Mecher (sale document)	Shtar Mechira (sale document)	2	3
Shtarot (documents)	Shtarot (documents of debt); Shtarot (documents) and Dating by Years	5	7
Shtayim She'hen Arba (two-becomes-four structure)	Shtayim Shehein Arba (two-becomes-four structure)	0	1
Shtei HaLechem (Two Loaves)	Shtei HaLechem (two loaves of bread on Shavuot)	1	36
Shtei Se'udot (two meals)	Shtei Se'udot (two meals standard)	1	2
Shtika k'Hoda'ah (silence as admission)	Shtika Kehodaah (silence as admission)	2	3
Shulchanot (tables)	Shulchanot (tables for rinsing)	1	2
Shum (growth)	Shuma (hair growth)	1	2
Shuma (mole/blemish mark)	Shumah (growth from blemish)	1	2
Shuman (fat around gid)	Shuman (permissible fat)	1	2
Shura (condolence line)	Shurah (procession of gifts)	3	4
Shushbinin (groomsmen)	Shushvinin (groomsmen)	1	2
Shutaf (partnership)	Shutafut (partnership); Shutfuta (partnership)	1	5
Shutafim (partners)	Shutfim (partners); Shutfin (partners)	3	12
Shutafut (joint ownership)	Shutfus (joint ownership partnership)	1	3
Shvach (added value)	Shvach Peiros (improvement to produce)	3	4
Shvi'it (Sabbatical year)	Shvi'it (Sabbatical year produce)	10	15
Shvua (oath)	Shvuah (oath)	18	28
Shvuat d'oraita vs. d'rabbanan (Torah vs. rabbinic oath)	Shvuah de'oraita (biblical oath); Shvuah derabbanan (rabbinic oath); Shvua D'Oraita (biblical oath); Shvua D'Rabbanan (rabbinic oath)	1	5
Shvuat ha'alah (oath-curse combined)	Shvuah Sheyesh Imah Alah (oath with curse)	1	2
Shvuat HaShomrim (guardian's oath)	Shvuat HaShomrim requirement (hand on object)	5	6
Shvuat Sheker (false oath)	Shvuat Sheker Beshogeig (false oath unintentionally); Shvuat Shgaga (mistaken oath)	4	6
Shvura (injury)	Shvura u'meta (injury and death)	1	2
Shvuyah (captive woman)	Shvuyah anafsheh chaticha d'issura (bound by one's own claim); Shvuyah v'tehorah (captive but pure)	12	14
Sicha (anointing with oil)	Sicha (anointing); Sicha as drinking; Sicha k'shtiya (anointing like drinking); Sichah (anointing with oil)	1	5
Sichon vs. Canaanite King	Sichon	1	2
Sidur Ma'aracha (arranging the woodpile)	Siddur Maaracha (order of service)	1	2
Sifra Debei Rav	Sifra	2	5
Signet ring (tabaat shel chotam)	Signet ring (tabaat im chotam)	1	2
Silence as acceptance or rejection	Silence and acceptance (shotekes); Silence as admission (shtika k'hoda'ah); Silence as admission of status; Silence as complicity or assent	1	6
Siman (trachea and esophagus)	Siman (windpipe and esophagus); Simanim (trachea and esophagus)	3	5
Siman muva'ak (unmistakable identifying mark)	Siman Muvhak (distinctive identifying mark)	3	4
Simanim (identifying marks)	Simanim (identifying signs)	14	19
Simanim of trachea and esophagus reddening	Simanim of trachea and esophagus	1	8
Simchat Yom Tov (joy of festival)	Simchat haregel (joy of festival); Simcha on festivals; Simcha (joy)	5	20
Simta (alley)	Simta	7	8
Sircha (membrane plugging)	Sirchos (adhesions)	1	3
Sirus (castration)	Sirusa (sterilization)	2	3
Sisin (chamomile)	Sisin (wool grade)	1	2
Sister-in-law (achot isha)	Sister-in-law (tzarah)	1	2
Six-thousand-year cycle	Six Thousand Year Lifespan	1	2
Skilah (stoning)	Skila (stoning)	13	14
Slave and slave woman testimony	Slaves and testimony	1	2
Sleeping on guard	Sleeping guards punishment	1	2
Smicha (rabbinic ordination)	Smicha persecution under Rome	6	7
Smichut (grammatical construct state)	Smichut (thickness)	1	2
Smuchim (juxtaposition as exegetical tool)	Smuchim (ordained judges)	2	4
Snake venom	Snake poison stratification; Snake fangs	1	3
Socher (renter)	Socher (renter) liability	11	12
Sof Tumah (terminus of impurity)	Sof Tumah Latzeis (presumed exit of impurity); Sof Tumah Latzeit (impurity eventually exits)	1	5
Sofer (scribe)	Sofer costs (scribe expenses); Sofrei Hadayanim (court scribes)	10	12
Sofrim (scribes)	Sofer and document costs; Sofer and Kavana (scribe and intention)	6	8
Solet (fine flour)	Solet Nekiyah (sifted fine flour)	5	6
Solomon	Solomon and declining royal authority; Solomon and foreign wives; Solomon building the Temple; Solomon's additions to the Temple; Solomon's ten menorot (candelabra); Solomon's ten tables; Solomon's wealth contradictions	23	30
Soma (blind person)	Soma b'achas me'einav (blind in one eye)	1	2
Somech al shulchan aviv (relying on father's table)	Smuchim Al Shulchano (dependent on father's table)	1	2
Somech Geulah LeTefillah (connecting redemption to prayer)	Smichat Geula L'Tefilla (joining redemption to prayer)	1	3
Soreg (fence)	Soreg (latticework fence)	1	2
Sotah (woman suspected of adultery)	Sota (woman suspected of adultery); Sotah (suspected adulteress)	10	50
Soter et hakol (tumah cancels nazirut)	Soter Hakol (tumah invalidates entire Nezirut)	1	2
Soul (neshama)	Soul after death; Soul departure at death; Soul in divine portion	1	4
Sourdough (se'or)	Sourdough debate; Sourdough in mixing cases	2	4
Southeast corner	Southeast corner lacking base	1	2
Sovev (altar ledge)	Sovev (altar platform); Sovev (surrounding strip); Sovev (walkway around altar)	1	5
Spilled blood (damim nishpach)	Spilled blood on floor; Spilling blood remnant	1	3
Spitting (rakak)	Spitting as essential component; Spitting in disdain	1	3
Split hooves (parsot)	Split hooves vs. non-split hooves	1	2
Spontaneous generation	Spontaneous generation of lice	1	2
Stains on body	Stains on garments	1	3
Stam (anonymous mishnah)	Stam (anonymous talmudic discussion); Stam (assumed/understood); Stam (blank/unexplicated intent); Stam (implicit/default understanding); Stam (simple/unqualified); Stam (unclear/ordinary case); Stam (unmodified statement); Stam (without a claim/baseless)	1	9
Stam hekdesh (unspecified sanctification)	Stam hekdesh (generic sanctification)	1	2
Stam lishman (unexplicated intent)	Stam lishmah	1	2
Stam nezirut (default nazirut)	Stam nazir vs. explicit nazir	2	3
Stama D'Gemara (anonymous Talmudic passage)	Stam d'Gemara (anonymous voice)	1	2
Standing requirement	Standing requirement in keriah (Levitical inheritance)	1	2
Status change (change in standing)	Status change (Kedushas Damim)	1	2
Stipulation (Tenai)	Stipulations	6	7
Straw and hay	Straw (teven)	1	2
Stum (unspecified)	Stuma; Stumah (unspecified designation by Kohen); Stumim (unspecified funds)	1	4
Sudar (handkerchief in kinyan sudar)	Sudar (handkerchief in chalippin)	0	1
Sukkah	Sukkah (booth)	2	16
Sukkah sechach (covering)	Sukkah and sechach	2	3
Sukkot (Festival of Tabernacles)	Sukkot	12	16
Sukkot as agricultural festival	Sukkot as harvest and agricultural cycle; Sukkot harvest connection	1	3
Sulam (ladder) - fixed vs. temporary	Sulam Kavua (fixed ladder)	1	2
Sulam Hamitzri (Egyptian ladder)	Sulam Hatzuri (Tyrian ladder)	1	2
Suma (blind person)	Suma Patur (blind person exempt)	6	7
Sumchus	Sumchos	1	29
Sura and Pumbedita	Sura and Nehardea	4	5
Suria	Sura	2	3
Swimming in water on Shabbat	Swimming in water	1	2
Sympathetic Magic in ritual commands	Sympathetic Magic (Chivarta L'Chivarta)	1	2
Ta'am (flavor)	Ta'am (Taste)	1	5
Ta'am K'Ikar (Taste as the Thing Itself)	Ta'am k'ikkar (taste equivalent to substance); Taam Keikar (taste is like the thing itself)	10	12
Ta'ama (Reason/Rationale)	Ta'ama d'kra (reason of the verse)	2	3
Ta'anit (Fasting)	Ta'anit (fasting)	8	9
Ta'aroves (Mixture)	Ta'aroves (mixture); Taarovet (mixture); Taaroves Chametz (mixture of leavened bread)	3	7
Ta'aseh Ve-lo Min Ha-Asuy (Active Making, Not Indirect Creation)	Taasah v'Lo Min ha'Asuy (direct action, not indirect)	2	4
Ta'us (Error/Mistake)	Ta'ut (error)	5	6
Taanug (pleasure/comfort) in Yom Tov restrictions	Ta'anug (Pleasure/Indulgence)	1	2
Tachas Avosecha Yihyu Banecha (grandson takes grandfather's place)	Tachat Avotecha Yihyu Banecha (grandson takes grandfather's place)	1	2
Tachrichim (burial shrouds)	Tachrich (wrapped documents)	3	4
Tachshitin (ornaments/adornments)	Tachshit (jewelry/adornment)	1	4
Tafel (secondary items)	Tafel (attendant element); Tafel (ancillary items)	1	3
Tahara (purity)	Tahara and Tumah (purity and impurity); Tahara period (purification period); Tahara Process (purification process); Tahara of Metzora (purity of leper); Tahara-Tumah linkage via Vehizah HaTahor al HaTamei; Taharah and Tumah (purity and impurity); Taharo (middle exposed part of altar); Tahur (purity)	19	31
Taharot (laws of purity)	Taharot (purity laws)	1	6
Tahor vs. Tamei (pure/impure)	Tahor/Tamei (pure/impure)	8	9
Takana (rabbinic enactment)	Takana (rabbinic ordinance); Takkanah (rabbinic ordinance)	47	51
Takanat Agunot (ordinance preventing abandoned women)	Takkanat Agunah (enactment regarding abandoned wives)	1	3
Takanat Hashavim (ordinance for repentants)	Takkanat Hashavim (enactment to facilitate repentance)	4	7
Takanat Usha (enactment of Usha)	Takkanat Usha (edict of Usha)	5	6
Takkanat Chachamim (enactment of the sages)	Takanos of Rabban Yochanan ben Zakai	3	4
Tal U'Matar (prayer for rain)	Tal u-matar (request for rain and dew)	1	2
Tallit (prayer shawl)	Talit tevulat yom (immersion of tallit)	3	4
Tallush (detached from ground)	Talush (detached produce)	1	2
Talmid Chacham (Torah scholar)	Talmid Chacham and women (Torah scholar and women); Talmid Chacham in acquisition of Torah (Torah scholar and learning); Talmid Chacham in exceptions (Torah scholar and exceptions); Talmid Chacham in testimony (Torah scholar and testimony); Talmid Chacham in treatment (Torah scholar and treatment)	36	41
Talmid Chacham versus Am Ha-Aretz (Torah scholar versus ignoramus)	Talmidei Chachamim versus Am Ha-Aretz (Torah scholars versus ignorami)	3	4
Talmidei Chachamim (Torah scholars)	Talmidei Chachamim in manslaughter laws (Torah scholars and cities of refuge)	20	21
Talmud Torah (study of Torah)	Talmud Torah (Torah study)	1	30
Talmud Torah D'Rabim (public study of Torah)	Talmud Torah D'Yachid (individual Torah study)	1	2
Tam (unblemished animal)	Tam (innocent animal)	2	16
Tamar and Zimri comparison	Tamar case; Tamar precedent	1	4
Tamchui (communal meal fund)	Tamchui (soup kitchen)	1	4
Tamei (ritually impure)	Tamei (impure state); Tamei (impure)	2	51
Tamei and Tumah	Tamei and Tahor; Tamei and Tumah v'Taharah	1	3
Tamei Lameit (becoming impure from dead bodies)	Tamei Meis status	1	2
Tamei Meis (impure from contact with dead)	Tamei Met (impure from contact with dead)	10	12
Tamei vs. Tahor (impure vs. pure)	Tamei vs. Tahor status; Tamei/Tahor (impure/pure); Tamei/Tahor in Nazir (impure/pure status)	2	12
Tamei vs. Tumah	Tamei/Tumah (impure/impurity)	1	6
Tamei/Temeah (ritually impure)	Tampei (becomes ritually impure)	4	5
Tamid (daily offering)	Tamidim (daily offerings)	33	39
Tamim (unblemished)	Tamim (unblemished animal)	13	14
Tamun (buried/hidden item)	Tamun (buried property); Tamun Ba'esh (property hidden in haystack)	5	7
Tana d'Bei Chizkiah	Tanna d'bei Chizkiyahu	1	2
Tana d'Bei Eliyahu	Tanna D'vei Eliyahu	2	3
Tana d'Bei Levi	Tanna d'bei Levi	2	3
Tana d'Bei Menashe	Tanna d'Bei Menashe	2	3
Tana d'Bei Rabbi Yishmael	Tanna d'vei Rabbi Yishmael; Tanai d'Bei Rabbi Yishmael	4	8
Tana Kama (first opinion)	Tanna Kamma (first opinion); Tanna Kamma (first tanna)	2	88
Tanakh (Hebrew Bible)	Tanach, Sefer, Mishnah, Gemara (levels of Torah)	4	5
Tannaic Debate	Tannaic Dispute; Tannaic debate: Rabbi Judah HaNasi vs. Rabbi Yosei bar Rabbi Yehuda	1	4
Tannaic sources	Tannaic texts	1	2
Tannaim	Tannaim (Tannaic sages)	8	9
Tannaim Dispute	Tannaitic Dispute	4	6
Tanning and processing leather	Tanning and working hides	1	2
Tannur (oven)	Tannur (large oven) specifications; Tannur (oven) and its purification	4	6
Tannur shel Achnai (Oven of Achnai)	Tanuro shel Achnai (Oven of Achnai)	2	3
Tanu Rabbanan (Our Rabbis Taught)	Tanya (taught)	6	7
Tapuach (ash pile)	Tapuach (apple or citrus fruit)	1	2
Tarach (effort)	Tarchia (effort or work)	1	2
Taraf (killing or tearing prey)	Taravut (mixture)	1	2
Targum (Aramaic translation)	Targum and translator	3	4
Tarnegol (chicken)	Tarnigol Habar (wild chicken)	2	3
Tarpikin (half-zuz currency)	Tarpeikin	1	2
Tashmish (marital relations)	Tashmish (sexual relations); Tashmish HaMitah (marital relations); Tashmish hamitah (sexual relations) vs. domestic labor	0	11
Tashmishei Avodah Zarah (vessels of idol worship)	Tashmishei Avoda Zarah (appurtenances of idolatry)	1	5
Tashmishei Mitzvah (objects of mitzvah)	Tashmishim (appurtenances); Tashmish (appurtenance)	4	9
Tashmisho benachas (easy usable access)	Tashmish al Yedei Hadachak (use with difficulty)	1	2
Tashmishta (function)	Tashmisha (function); Tashmisho (usability)	1	3
Tavi (spun thread)	Tavi	1	2
Tax Collector	Tax Collectors	1	2
Techelet (blue dye for tzitzit)	Techelet (blue dye for tzitzit) and Sapphire	13	14
Techilat Asiyaso Lenezek (inherent hazard from inception)	Techilat Asiyato Lenezek (inherent hazard from inception)	1	2
Techilato Biphshiya Vesofo Be'ones (begins with negligence, ends with accident)	Techilato Biphshiya Vesofo Be'ones (negligence at start, accident at end)	6	7
Techilla vs. Sof (beginning vs. end)	Techila and Sof (beginning and end of obligations)	1	2
Techum (boundary/domain)	Techum (boundary/limit)	1	3
Techumim (Sabbath boundaries)	Techumin (Sabbath boundaries)	14	17
Tefila (prayer)	Tefila and Kavana in prayer; Tefila versus Korbanot in prayer and sacrifice	11	13
Tefilat Shav (worthless prayer)	Tefillat Shav (worthless prayer)	1	2
Tefillin (phylacteries)	Tefillin (phylacteries) in non-Jewish writing	33	34
Tefillin and Tzitzit in merit	Tefillin and Tzitzit in phylacteries and fringes	1	2
Tefillin exemption	Tefillin obligation	1	2
Tefillin in Shabbat	Tefillin on Shabbat	1	2
Tefillin on Yom Tov and Shabbat	Tefillin on Chol Ha-Moed	1	2
Tefisa (seizure)	Tefisat Yad (seizure by hand)	2	5
Teiku (unresolved dispute)	Teiku (unresolved question)	1	49
Tekiah (shofar blast)	Tekiah (long shofar sound)	1	4
Tekiat Shofar (shofar blowing)	Tekiot (shofar blasts)	1	3
Tekufa (seasonal cycle)	Tekufot (seasonal markers)	2	3
Teluyah (suspended)	Teliyah (hanging); Teluyim (suspended)	1	3
Temet (grape lees water)	Temed (diluted grape juice); Temed (winey water)	1	3
Temiah (impurity)	Temeiyut (impurity) in Nazirut	1	2
Ten tefachim (ten handbreadths)	Ten Tefachim (ten handbreadths)	10	21
Tenufah (waving)	Tenufah (waving) of offerings	15	16
Teruma (heave offering)	Terumah (heave offering)	49	156
Teruma (priestly portion)	Terumah (priestly portion)	1	9
Teruma and Ma'aser (priestly and Levitical gifts)	Terumah and Ma'aser (tithes); Terumah and Maasrot (agricultural gifts); Terumah u'Ma'aser (heave-offering and tithe); Terumot u'Ma'asrot (priestly gifts and tithes)	3	43
Teruma Gedola vs. Ma'aser	Terumah Gedolah (greater heave offering)	1	2
Teruma Hadeshen (ash removal)	Terumah Hadeshen (ash removal); Terumat HaDeshen (ash removal)	0	5
Teruma HaLishka (treasury heave offering)	Terumat HaLishka (removal of funds from the chamber)	0	4
Terumah and Kodashim (holy things)	Terumah and Kodesh (holy things)	2	3
Terumat Ma'aser (tithe of the tithe)	Teruma of Ma'aser (priestly tithe gift)	6	8
Teshubot (responsa)	Teshuva (responsum)	1	3
Teshuva (repentance)	Teshuvah (repentance) in Ramban's view; Teshuvah (repentance) — liability and gift in Ramban's view	63	65
Tevel (untithed produce)	Tevalim (untithed produce)	48	49
Tevilat keilim (immersion of vessels)	Tevila (immersion of vessels)	3	4
Tfisa (establishing ownership through acquisition)	Tfisa achat (unified unit)	1	2
Tfisas yad (owner's holding)	Tfisas yad (ownership and unified domain)	1	2
The Sages	The Rabbis	3	5
Theft and restitution	Theft (gazlan) and restitution	0	1
Theodicy and reward/punishment	Theodicy and divine justice (sechar ve'onesh); Theodicy and why bad things happen	1	3
Theodosius of Rome	Theodos	1	2
Thirty-nine melachot	Thirty-nine categories of melacha	2	3
Thirty-six righteous (Lamed Vav Tzadikim)	Thirty-six transgressions requiring karet	1	2
Thrashing of hand and foot (pirkhes beyad uveragel)	Thrashing and movement (pirkesa)	1	2
Three by three fingerbreadths standard	Three by three (shalosh al shalosh) measurement	1	2
Three camps (Machneh Shechinah, Leviyah, Yisrael)	Three camps (Shalosh Machanot); Three camps: Beit Hamikdash, Machaneh Leviyim, Machaneh Yisrael	1	3
Three Cardinal Sins (avodah zarah, gilui arayot, shfichut damim)	Three cardinal sins (Avoda Zara, Gilui Arayot, Shefichut Damim)	1	2
Three courtyards (Shalosh Chatzrot) and alleyway arrangements	Three courtyards (chatzerot); Three courtyards open to each other	1	3
Three lay people (Shlosha Hedyotos)	Three lay people (hedyotos)	1	2
Three months waiting period	Three months wait; Three months wait (Yichud); Three months from birth to discovery	1	4
Three Pilgrimage Festivals (Shlosha Regalim)	Three Regalim (holiday pilgrimage announcements)	4	5
Three rows of Talmidei Chachamim	Three rows of student observers	1	2
Three Tefachim (hand-breadths)	Three Tefachim (Gimmel Tefachim); Three Tefachim (measurement); Three Tefachim (width/depth measure); Three Tefachim rule	1	5
Three-month waiting period (shlosh chodashim)	Three-month wait for paternity; Three-month concealment	1	3
Three-month waiting period after widowhood/divorce	Three months pregnancy standard; Three months (90 days) requirement	1	3
Three-person beis din (rabbinical court authority and composition)	Three-judge court (malkit); Three judges requirement	1	3
Three-tefach rule	Three-tefach distance limit for lavud (division)	1	2
Tiberias	Tiberias (Tverya)	1	2
Tifla (promiscuity)	Tiflus (women learning Torah causing foolishness)	1	2
Tikkun (repair)	Tikun (repair/fixing)	0	3
Tinok (child)	Tinok (infant)	3	4
Tinok She-Nishba (child raised among non-Jews)	Tinok Shenishba (child raised among non-Jews); Tinok shenishba (child raised among non-Jews) in Rambam's position	11	13
Tircha (burden)	Tircha (effort/burden)	13	14
Tisha B'Av	Tisha B'Av (ninth of Av)	12	13
Tishrei	Tishrei as Rosh Hashanah	6	7
Tiyufta (refutation)	Tiyuvta (refutation)	5	6
To'eh b'dvar mishna (error in established law)	To'eh B'Dvar Mitzvah (error in commandment); Toeh B'Dvar Mishna (Erring in Mishna Matter); Toeh Bidvar Mitzvah (Erring While Performing a Mitzvah); To'eh Bidvar Mishna (error in explicit halacha)	1	6
To'eh b'shikul hadaat (error in judgment)	Toeh B'Shikul Hadaas (Erring in Judgment)	1	2
To'ein Ta'anat Ganav (claimant asserting theft)	Toein Ta'anat Ganav (Claimer of Theft); Toen Ta'anat Ganav (Shomer Falsely Claiming Theft); Toenei Ta'anat Gneiva (Claiming False Theft)	4	7
Toch K'dei Dibbur (within the time of speaking)	Tokh Kedei Akhilat Pras (Time to Eat Half a Loaf); Tokh Kedei Dibbur (Within Time of Speech)	11	13
Tochacha (rebuke)	Tokhacha (rebuke)	4	6
Todah (Thanksgiving Offering)	Toda (thanksgiving offering); Toda in bread (thanksgiving offering with bread loaves); Todah Breads	21	36
Tofel (Non-Essential Part)	Tofes (Boilerplate)	1	3
Tofes Damav (Status Latches onto Money)	Tofes Et Damav (Seizing Money)	1	2
Toldah (Derivative)	Tolada (Derivative Melacha); Toladah (Derivative Category); Toldos (Derivatives); Toldot (Subcategories); Toldot of Avot (Derivatives of Primary Categories)	2	8
Toldos Or (Derivatives of Fire)	Toldos Chamah (Derivatives of Sun Heat)	4	7
Tolesh (Uprooting)	Tolash (Detached from Ground)	4	5
Tolun (Suspend in Doubt)	Tollin (Suspending a Sieve)	1	2
Torah as life (Sam Chayim) and poison (Sam Mavet)	Torah as potion of life (Sam Chayim) or death (Sam Misa)	1	2
Torah from Heaven (Torah min ha-Shamayim)	Torah from Heaven (Torah Misinai)	2	3
Torah in 70 languages	Torah given in all languages	1	2
Torah level (de'oraita) versus Rabbinic level (de'rabbanan)	Torah law (de'oraisa); Torah Prohibition vs. Rabbinic Prohibition; Torah Violation vs. Rabbinical Prohibition	1	4
Torah Lishmah (study of Torah for its own sake)	Torah Lishmah (for its own sake)	1	2
Torah Magina (Torah as protective force)	Torah megina l'olam protects forever	1	2
Torah She'be'al Peh (Oral Torah)	Torah she-be'al peh (Oral Tradition) — derivation vs. transmission in Rambam's view; Torah she-be'al peh (Oral Tradition) — Ramban's interpretation	21	23
Torah She'be'al Peh versus Torah She'bikhtav	Torah She'bikhtav and Torah She'be'al Peh; Torah She'bikhtav versus Torah She'be'al Peh	2	5
Torah study (Talmud Torah)	Torah learning (Talmud Torah)	2	4
Torah Study and Teaching	Torah learning and teaching	1	2
Torah Study at Night (Talmud Torah balaila - studying Torah at night)	Torah Study at Night and Divine Reward	1	2
Torah Transmission Through Generations	Torah Transmission and Dynasty; Torah Transmission and Attribution	1	3
Torah's Concern for Financial Loss (chesah al mamonam - consideration for money)	Torah's Concern for Financial Loss (Chasah Al Mamonam - consideration for money)	1	2
Toref (essential section with date)	Toref (essential part of document); Toref in Get (essential line of document)	1	3
Torim (turtle doves)	Torim (pigeons); Torim and Bnei Yona (turtle doves and young pigeons); Torim and Bnei Yonah (turtle doves and young pigeons)	3	6
Tosafot ha-Rosh ha-Zaken	Tosafot ha-Rosh	1	2
Tosefet Shabbat (adding from weekday to Shabbat)	Tosefet (adding from weekday to holy day)	4	5
Tref (non-kosher)	Trefa (non-kosher)	5	16
Tref and Neveilah (non-kosher)	Tref, Neveilot, and Treifot (non-kosher animals)	1	2
